name,time,flow_in,flow_out,pressure_in,pressure_out
branch 0_seg0,0.0000000000000000e+00,2.5000000011641535e-04,2.4999999999274935e-04,5.0310327708630335e+04,4.2544639604393800e+04
branch 0_seg0,2.5000000000000000e-01,2.4999999994179233e-04,2.5000000000125866e-04,5.0310327703882460e+04,4.2544639608283127e+04
branch 0_seg0,5.0000000000000000e-01,2.5000000002910384e-04,2.5000000000053365e-04,5.0310327707582692e+04,4.2544639607625788e+04
branch 0_seg0,7.5000000000000000e-01,2.4999999998544806e-04,2.4999999999916886e-04,5.0310327705081596e+04,4.2544639607323006e+04
branch 0_seg0,1.0000000000000000e+00,2.5000000000727598e-04,2.5000000000068576e-04,5.0310327706648677e+04,4.2544639607781100e+04
branch 1_seg0,0.0000000000000000e+00,6.2500000000084949e-05,6.2499999937299465e-05,4.2544639604393800e+04,-5.0821976835258743e-21
branch 1_seg0,2.5000000000000000e-01,6.2499999998158213e-05,6.2500000030778712e-05,4.2544639608283127e+04,2.5410988417628303e-21
branch 1_seg0,5.0000000000000000e-01,6.2500000001818615e-05,6.2499999984963459e-05,4.2544639607625788e+04,-1.2705494208815220e-21
branch 1_seg0,7.5000000000000000e-01,6.2499999998645873e-05,6.2500000007305776e-05,4.2544639607323006e+04,6.3465432498123939e-22
branch 1_seg0,1.0000000000000000e+00,6.2500000000896067e-05,6.2499999996472915e-05,4.2544639607781100e+04,-3.1825774067984868e-22
branch 2_seg0,0.0000000000000000e+00,1.8749999999266443e-04,1.8749999997101305e-04,4.2544639604393800e+04,3.7263723640159114e+04
branch 2_seg0,2.5000000000000000e-01,1.8750000000310044e-04,1.8750000001183412e-04,4.2544639608283127e+04,3.7263723644524121e+04
branch 2_seg0,5.0000000000000000e-01,1.8749999999871501e-04,1.8749999999539266e-04,4.2544639607625788e+04,3.7263723643622245e+04
branch 2_seg0,7.5000000000000000e-01,1.8750000000052302e-04,1.8750000000166580e-04,4.2544639607323006e+04,3.7263723643444027e+04
branch 2_seg0,1.0000000000000000e+00,1.8749999999978967e-04,1.8749999999947408e-04,4.2544639607781100e+04,3.7263723643839367e+04
branch 3_seg0,0.0000000000000000e+00,6.2499999996176359e-05,6.2499999968762741e-05,3.7263723640159114e+04,0.0000000000000000e+00
branch 3_seg0,2.5000000000000000e-01,6.2500000000184397e-05,6.2500000014626200e-05,3.7263723644524121e+04,0.0000000000000000e+00
branch 3_seg0,5.0000000000000000e-01,6.2500000000764242e-05,6.2499999993191171e-05,3.7263723643622245e+04,0.0000000000000000e+00
branch 3_seg0,7.5000000000000000e-01,6.2499999999196553e-05,6.2500000003150069e-05,3.7263723643444027e+04,0.0000000000000000e+00
branch 3_seg0,1.0000000000000000e+00,6.2500000000607371e-05,6.2499999998552415e-05,3.7263723643839367e+04,0.0000000000000000e+00
branch 4_seg0,0.0000000000000000e+00,1.2499999997483667e-04,1.2500000001122423e-04,3.7263723640159114e+04,2.1938239486052476e+04
branch 4_seg0,2.5000000000000000e-01,1.2500000001164975e-04,1.2499999998913394e-04,3.7263723644524121e+04,2.1938239484239697e+04
branch 4_seg0,5.0000000000000000e-01,1.2499999999462840e-04,1.2500000000802784e-04,3.7263723643622245e+04,2.1938239486378872e+04
branch 4_seg0,7.5000000000000000e-01,1.2500000000246927e-04,1.2499999999471403e-04,3.7263723643444027e+04,2.1938239484702499e+04
branch 4_seg0,1.0000000000000000e+00,1.2499999999886669e-04,1.2500000000326180e-04,3.7263723643839367e+04,2.1938239485837013e+04
branch 5_seg0,0.0000000000000000e+00,6.2500000004272354e-05,6.2500000000776520e-05,2.1938239486052476e+04,5.0821976835258502e-21
branch 5_seg0,2.5000000000000000e-01,6.2499999995324271e-05,6.2499999997131067e-05,2.1938239484239697e+04,-2.5410600676716410e-21
branch 5_seg0,5.0000000000000000e-01,6.2500000003591272e-05,6.2500000002661528e-05,2.1938239486378872e+04,1.2705881949727113e-21
branch 5_seg0,7.5000000000000000e-01,6.2499999997590430e-05,6.2499999998066747e-05,2.1938239484702499e+04,-6.3523593634946481e-22
branch 5_seg0,1.0000000000000000e+00,6.2500000001503166e-05,6.2500000001260237e-05,2.1938239485837013e+04,3.1767612931162326e-22
branch 6_seg0,0.0000000000000000e+00,6.2500000006951879e-05,6.2499999992584980e-05,2.1938239486052476e+04,6.3527471044087346e-22
branch 6_seg0,2.5000000000000000e-01,6.2499999993809654e-05,6.2500000001098244e-05,2.1938239484239697e+04,-3.1763735522021461e-22
branch 6_seg0,5.0000000000000000e-01,6.2500000004436557e-05,6.2500000000760135e-05,2.1938239486378872e+04,-4.8467612536126281e-27
branch 6_seg0,7.5000000000000000e-01,6.2499999997123599e-05,6.2499999998966540e-05,2.1938239484702499e+04,-4.8467612536126281e-27
branch 6_seg0,1.0000000000000000e+00,6.2500000001758631e-05,6.2500000000841030e-05,2.1938239485837013e+04,-4.8467612536126281e-27
